Plant_ID,TS,PM2_5_ugm3,SO2_ugm3,NOx_ugm3,Lat,Lon,Status,Unit,Record_ID,Downtime,Stack_ID,Stack_Map_Flag,Source,QC_Flag,Inspection_Notes,PM25_Exceed,Audit
PL-01,2026-01-02 23:00:00+05:30,85162.0,25092.000000000004,41713.0,12.6469,79.9437,MAINT,ug/m3,E24602,0,ST-01,0,STACK,0,REDACTED,1,Cleaned_v1
PL-01,,77.02799999999999,19.89,9.796999999999999,14.3185,80.8222,MAINT,ug/m3,E24577,1,ST-01,0,STACK,0,REDACTED,1,Cleaned_v1
PL-01,,68893.99999999999,26418.0,49995.0,13.64,79.2093,OK,ug/m3,E24680,0,ST-01,0,STACK,0,REDACTED,1,Cleaned_v1
PL-01,,71.932,26.826,31.613,12.9802,79.732,MAINT,ug/m3,E20514,1,ST-01,0,STACK,0,REDACTED,1,Cleaned_v1
PL-01,2026-05-02 22:10:00+05:30,53.655,26.469,42.016000000000005,13.2501,81.4874,MAINT,ug/m3,E25173,0,ST-01,0,STACK,0,REDACTED,0,Cleaned_v1
PL-01,,35378.0,26112.000000000004,22018.0,13.8879,80.6205,OK,ug/m3,E25162,0,ST-01,0,STACK,0,REDACTED,1,Cleaned_v1
PL-01,2026-06-02 09:00:00+05:30,99.07799999999999,38.76,70.397,12.681,80.4714,OK,ug/m3,E25238,0,ST-01,0,STACK,0,REDACTED,1,Cleaned_v1
PL-01,,95.256,31.62,62.36750000000001,13.345,79.442,OK,ug/m3,E25202,0,ST-01,0,STACK,0,REDACTED,1,Cleaned_v1
PL-01,2026-07-02 12:50:00+05:30,77812.0,17799.000000000004,54338.0,13.8635,79.4458,MAINT,ug/m3,E25405,1,ST-01,0,STACK,0,REDACTED,1,Cleaned_v1
PL-01,,98.882,25.806,75.75,13.005,79.6575,MAINT,ug/m3,E21320,0,ST-01,0,STACK,0,REDACTED,1,Cleaned_v1
PL-01,2026-11-02 03:20:00+05:30,88.984,27.233999999999998,53.3785,12.6698,80.2683,MAINT,ug/m3,E25924,1,ST-01,0,STACK,0,REDACTED,1,Cleaned_v1
PL-01,,58.897999999999996,26.418,31.006999999999998,14.3922,81.0271,OK,ug/m3,E26278,0,ST-01,0,STACK,0,REDACTED,0,Cleaned_v1
PL-01,,74.186,29.376,29.592999999999996,14.2584,80.342,MAINT,ug/m3,E21894,1,ST-01,0,STACK,0,REDACTED,1,Cleaned_v1
PL-01,,50.32300000000001,21.114,28.179,14.2963,80.6095,MAINT,ug/m3,E21980,1,ST-01,0,STACK,0,REDACTED,0,Cleaned_v1
PL-01,,26.46,13.158000000000001,31.411,12.6705,79.483,MAINT,ug/m3,E26437,0,ST-01,0,STACK,0,REDACTED,0,Cleaned_v1
PL-01,,90.64999999999999,28.764,54.338,13.7577,80.6055,OK,ug/m3,E22457,0,ST-01,0,STACK,0,REDACTED,1,Cleaned_v1
