Plant_ID,Stack_ID,TS,Source_Type,Sector,PM2.5,SO2,NOx,AQI_Overall,Hour,DayOfWeek,PM25_lag_15m,PM25_lag_1h,PM25_lag_6h,PM25_lag_24h,PM25_roll_mean_6h,PM25_roll_std_6h,IsWeekend,HourSin,HourCos,Wind_Speed,Temp_C
LOC-BLR-01,A-01,2025-01-01 00:00:00,Ambient,City,128.6,198.1,125.7,307.5,0.0,Wednesday,,,,,,,False,0.0,1.0,1.9,10.5
LOC-BLR-01,A-01,2025-01-01 00:15:00,Ambient,City,273.8,275.7,267.0,500.0,0.0,Wednesday,128.6,,,,,,False,0.0,1.0,1.9,10.5
LOC-BLR-01,A-01,2025-01-01 00:30:00,Ambient,City,34.4,128.6,102.6,123.3,0.0,Wednesday,273.8,,,,,,False,0.0,1.0,1.9,10.5
LOC-BLR-01,A-01,2025-01-01 00:45:00,Ambient,City,119.9,128.4,73.4,299.7,0.0,Wednesday,34.4,,,,,,False,0.0,1.0,1.9,10.5
LOC-BLR-01,A-01,2025-01-01 01:00:00,Ambient,City,52.8,136.2,110.6,131.2,1.0,Wednesday,119.9,128.6,,,,,False,0.25881904510252074,0.9659258262890683,4.7,12.2
LOC-BLR-01,A-01,2025-01-01 01:15:00,Ambient,City,150.0,138.8,0.8,323.8,1.0,Wednesday,52.8,273.8,,,126.58333333333333,85.10178415677703,False,0.25881904510252074,0.9659258262890683,4.7,12.2
LOC-BLR-01,A-01,2025-01-01 01:30:00,Ambient,City,207.6,67.3,267.0,367.7,1.0,Wednesday,150.0,34.4,,,138.15714285714287,83.50408886481462,False,0.25881904510252074,0.9659258262890683,4.7,12.2
LOC-BLR-01,A-01,2025-01-01 01:45:00,Ambient,City,158.9857142857143,127.6,105.7,330.6,1.0,Wednesday,207.6,119.9,,,140.7607142857143,77.65969524345381,False,0.25881904510252074,0.9659258262890683,4.7,12.2
LOC-BLR-01,A-01,2025-01-01 02:15:00,Ambient,City,261.4,71.7,140.5,500.0,2.0,Wednesday,158.9857142857143,52.8,,,154.16507936507935,83.03157688958444,False,0.49999999999999994,0.8660254037844387,5.5,11.3
LOC-BLR-01,A-01,2025-01-01 02:30:00,Ambient,City,82.8,140.5,267.0,287.1,2.0,Wednesday,261.4,150.0,,,147.0285714285714,81.47093495615712,False,0.49999999999999994,0.8660254037844387,5.5,11.3
LOC-BLR-01,A-01,2025-01-01 02:45:00,Ambient,City,188.3,124.9,199.6,353.0,2.0,Wednesday,82.8,207.6,,,150.7805194805195,78.28544037301592,False,0.49999999999999994,0.8660254037844387,5.5,11.3
LOC-BLR-01,A-01,2025-01-01 03:00:00,Ambient,City,174.63333333333335,104.0,138.4,342.6,3.0,Wednesday,188.3,158.9857142857143,,,152.76825396825396,74.95916792248391,False,0.7071067811865476,0.7071067811865476,5.4,15.9
LOC-BLR-01,A-01,2025-01-01 03:15:00,Ambient,City,14.8,135.8,75.2,119.4,3.0,Wednesday,174.63333333333335,261.4,,,142.15531135531137,81.33195115964482,False,0.7071067811865476,0.7071067811865476,5.4,15.9
LOC-BLR-01,A-01,2025-01-01 03:30:00,Ambient,City,147.3,275.7,109.6,321.7,3.0,Wednesday,14.8,82.8,,,142.52278911564628,78.15330723638795,False,0.7071067811865476,0.7071067811865476,5.4,15.9
LOC-BLR-01,A-01,2025-01-01 03:45:00,Ambient,City,232.6,229.95,96.7,386.7,3.0,Wednesday,147.3,188.3,,,148.52793650793652,78.81995288017659,False,0.7071067811865476,0.7071067811865476,5.4,15.9
LOC-BLR-01,A-01,2025-01-01 04:00:00,Ambient,City,271.0,184.2,55.75,500.0,4.0,Wednesday,232.6,174.63333333333335,,,156.1824404761905,82.07237986414567,False,0.8660254037844386,0.5000000000000001,6.6,13.5
LOC-BLR-01,A-01,2025-01-01 04:15:00,Ambient,City,60.2,50.7,14.8,101.3,4.0,Wednesday,271.0,14.8,,,150.53641456582633,82.80581296864304,False,0.8660254037844386,0.5000000000000001,6.6,13.5
LOC-BLR-01,A-01,2025-01-01 04:30:00,Ambient,City,143.9,100.8,127.6,319.1,4.0,Wednesday,60.2,147.3,,,150.16772486772487,80.34866586358007,False,0.8660254037844386,0.5000000000000001,6.6,13.5
LOC-BLR-01,A-01,2025-01-01 04:45:00,Ambient,City,138.5,283.5,224.8,315.0,4.0,Wednesday,143.9,232.6,,,149.55363408521305,78.13073394576405,False,0.8660254037844386,0.5000000000000001,6.6,13.5
LOC-BLR-01,A-01,2025-01-01 05:00:00,Ambient,City,499.8,275.7,267.0,500.0,5.0,Wednesday,138.5,271.0,,,167.06595238095238,109.16387959561601,False,0.9659258262890683,0.25881904510252074,8.8,16.9
LOC-BLR-01,A-01,2025-01-01 05:15:00,Ambient,City,108.1,279.6,159.4,260.6,5.0,Wednesday,499.8,60.2,,,164.25804988662134,107.17502331569108,False,0.9659258262890683,0.25881904510252074,8.8,16.9
LOC-BLR-01,A-01,2025-01-01 05:30:00,Ambient,City,0.3,277.65,182.0,202.9,5.0,Wednesday,108.1,143.9,,,156.80541125541126,110.27887473744947,False,0.9659258262890683,0.25881904510252074,8.8,16.9
LOC-BLR-01,A-01,2025-01-01 05:45:00,Ambient,City,273.8,275.7,267.0,500.0,5.0,Wednesday,0.3,138.5,,,161.892132505176,110.47061505942332,False,0.9659258262890683,0.25881904510252074,8.8,16.9
